

//
// Armor techs
// 
ARMOR_0_NAME     | Blindaje de titanio
FUTUREFORCE_5_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_6_NAME    | Campo de Fuerza Futuro VII
FUTUREFORCE_6_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_7_NAME    | Campo de Fuerza Futuro VIII
FUTUREFORCE_7_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_8_NAME    | Campo de Fuerza Futuro IX
FUTUREFORCE_8_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_9_NAME    | Campo de Fuerza Futuro X
FUTUREFORCE_9_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.



//
// Future Planetology techs
//
FUTUREPLANET_0_NAME    | Planetología Futura I
FUTUREPLANET_0_DETAIL  | Mejoras generales en la tecnología de planetología.

FUTUREPLANET_1_NAME    | Planetología Futura II
FUTUREPLANET_1_DETAIL  | Mejoras generales en la tecnología de planetología.

FUTUREPLANET_2_NAME    | Planetología Futura III
FUTUREPLANET_2_DETAIL  | Mejoras generales en la tecnología de planetología.

FUTUREPLANET_3_NAME    | Planetología Futura IV
FUTUREPLANET_3_DETAIL  | Mejoras generales en la tecnología de planetología.

FUTUREPLANET_4_NAME    | Planetología Futura V
FUTUREPLANET_4_DETAIL  | Mejoras generales en la tecnología de planetología.

FUTUREPLANET_5_NAME    | Planetología Futura VI
FUTUREPLANET_5_DETAIL  | Mejoras generales en la tecnología de planetología.

FUTUREPLANET_6_NAME    | Planetología Futura VII
FUTUREPLANET_6_DETAIL  | Mejoras generales en la tecnología de planetología.

FUTUREPLANET_7_NAME    | Planetología Futura VIII
FUTUREPLANET_7_DETAIL  | Mejoras generales en la tecnología de planetología.

FUTUREPLANET_8_NAME    | Planetología Futura IX
FUTUREPLANET_8_DETAIL  | Mejoras generales en la tecnología de planetología.

FUTUREPLANET_9_NAME    | Planetología Futura X
FUTUREPLANET_9_DETAIL  | Mejoras generales en la tecnología de planetología.



//
// Future Propulsion techs
//
FUTUREPROP_0_NAME    | Propulsión Futura I
FUTUREPROP_0_DETAIL  | Mejoras Generales en Tecnología de Propulsión.

FUTUREPROP_1_NAME    | Propulsión Futura II
FUTUREPROP_1_DETAIL  | Mejoras Generales en Tecnología de Propulsión.

FUTUREPROP_2_NAME    | Propulsión Futura III
FUTUREPROP_2_DETAIL  | Mejoras Generales en Tecnología de Propulsión.

FUTUREPROP_3_NAME    | Propulsión Futura IV
FUTUREPROP_3_DETAIL  | Mejoras Generales en Tecnología de Propulsión.

FUTUREPROP_4_NAME    | Propulsión Futura V
FUTUREPROP_4_DETAIL  | Mejoras Generales en Tecnología de Propulsión.

FUTUREPROP_5_NAME    | Propulsión Futura VI
FUTUREPROP_5_DETAIL  | Mejoras Generales en Tecnología de Propulsión.

FUTUREPROP_6_NAME    | Propulsión Futura VII
FUTUREPROP_6_DETAIL  | Mejoras Generales en Tecnología de Propulsión.

FUTUREPROP_7_NAME    | Propulsión Futura VIII
FUTUREPROP_7_DETAIL  | Mejoras Generales en Tecnología de Propulsión.

FUTUREPROP_8_NAME    | Propulsión Futura IX
FUTUREPROP_8_DETAIL  | Mejoras Generales en Tecnología de Propulsión.

FUTUREPROP_9_NAME    | Propulsión Futura X
FUTUREPROP_9_DETAIL  | Mejoras Generales en Tecnología de Propulsión.


//
// Future Weapon techs
//
FUTUREWEAPON_0_NAME    | Arma Futura I
FUTUREWEAPON_0_DETAIL  | Mejoras Generales en Tecnología de Armas.

FUTUREWEAPON_1_NAME    | Arma Futura II
FUTUREWEAPON_1_DETAIL  | Mejoras Generales en Tecnología de Armas.

FUTUREWEAPON_2_NAME    | Arma Futura III
FUTUREWEAPON_2_DETAIL  | Mejoras Generales en Tecnología de Armas.

FUTUREWEAPON_3_NAME    | Arma Futura IV
FUTUREWEAPON_3_DETAIL  | Mejoras Generales en Tecnología de Armas.

FUTUREWEAPON_4_NAME    | Arma Futura V
FUTUREWEAPON_4_DETAIL  | Mejoras Generales en Tecnología de Armas.

FUTUREWEAPON_5_NAME    | Arma Futura VI
FUTUREWEAPON_5_DETAIL  | Mejoras Generales en Tecnología de Armas.

FUTUREWEAPON_6_NAME    | Arma Futura VII
FUTUREWEAPON_6_DETAIL  | Mejoras Generales en Tecnología de Armas.

FUTUREWEAPON_7_NAME    | Arma Futura VIII
FUTUREWEAPON_7_DETAIL  | Mejoras Generales en Tecnología de Armas.

FUTUREWEAPON_8_NAME    | Arma Futura IX
FUTUREWEAPON_8_DETAIL  | Mejoras Generales en Tecnología de Armas.

FUTUREWEAPON_9_NAME    | Arma Futura X
FUTUREWEAPON_9_DETAIL  | Mejoras Generales en Tecnología de Armas. 


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | 
HANDWEAPON_0_DETAIL    | 

HANDWEAPON_1_NAME      | Láseres de Mano
HANDWEAPON_1_DETAIL    | Láseres personales que añaden 5 a tus tiradas de combate terrestre.

HANDWEAPON_2_NAME      | Rifle Iónico
HANDWEAPON_2_DETAIL    | Armas de rayo personales que añaden 10 puntos a tus ataques terrestres.

HANDWEAPON_3_NAME      | Rifle de Fusión
HANDWEAPON_3_DETAIL    | Armas de rayo imprecisas pero increíblemente potentes que añaden 20 puntos a tus tiradas de combate terrestre.

HANDWEAPON_4_NAME      | Phasor de Mano
HANDWEAPON_4_DETAIL    | Potentes armas de energía portátiles capaces de reducir a un oponente a sus átomos componentes. Añade 25 a tus tiradas de combate terrestre.

HANDWEAPON_5_NAME      | Rifle de Plasma
HANDWEAPON_5_DETAIL    | El arma portátil más devastadora disponible. Añade 30 a tus ataques terrestres.


//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | Comunicaciones Hiperespaciales
HYPERSPACE_0_DETAIL    | Permite comunicarse con flotas de naves en el hiperespacio y cambiar sus destinos mientras están en ruta.


//
// Improved Industrial techs
//
IMPRINDUSTRY_0_NAME     | Tecnología Industrial Mejorada 9
IMPRINDUSTRY_0_DETAIL   | Reduce el coste de construcción de fábricas a 9 BC cada una.

IMPRINDUSTRY_1_NAME     | Tecnología Industrial Mejorada 8
IMPRINDUSTRY_1_DETAIL   | Reduce el coste de construcción de fábricas a 8 BC cada una.

IMPRINDUSTRY_2_NAME     | Tecnología Industrial Mejorada 7
IMPRINDUSTRY_2_DETAIL   | Reduce el coste de construcción de fábricas a 7 BC cada una.

IMPRINDUSTRY_3_NAME     | Tecnología Industrial Mejorada 6
IMPRINDUSTRY_3_DETAIL   | Reduce el coste de construcción de fábricas a 6 BC cada una.

IMPRINDUSTRY_4_NAME     | Tecnología Industrial Mejorada 5
IMPRINDUSTRY_4_DETAIL   | Reduce el coste de construcción de fábricas a 5 BC cada una.

IMPRINDUSTRY_5_NAME     | Tecnología Industrial Mejorada 4
IMPRINDUSTRY_5_DETAIL   | Reduce el coste de construcción de fábricas a 4 BC cada una.

IMPRINDUSTRY_6_NAME     | Tecnología Industrial Mejorada 3
IMPRINDUSTRY_6_DETAIL   | Reduce el coste de construcción de fábricas a 3 BC cada una.

IMPRINDUSTRY_7_NAME     | Tecnología Industrial Mejorada 2
IMPRINDUSTRY_7_DETAIL   | Reduce el coste de construcción de fábricas a 2 BC cada una.


//
// Improved Terraforming techs
//
IMPRTFORM_0_NAME        | Terraformación Mejorada +10
IMPRTFORM_0_DETAIL      | Aumenta la capacidad de población de los planetas en 10M por un coste de 5 BC por millón.

IMPRTFORM_1_NAME        | Terraformación Mejorada +20
IMPRTFORM_1_DETAIL      | Aumenta la capacidad de población de los planetas en 20M por un coste de 5 BC por millón.

IMPRTFORM_2_NAME        | Terraformación Mejorada +30
IMPRTFORM_2_DETAIL      | Aumenta la capacidad de población de los planetas en 30M por un coste de 4 BC por millón.

IMPRTFORM_3_NAME        | Terraformación Mejorada +40
IMPRTFORM_3_DETAIL      | Aumenta la capacidad de población de los planetas en 40M por un coste de 4 BC por millón.

IMPRTFORM_4_NAME        | Terraformación Mejorada +50
IMPRTFORM_4_DETAIL      | Aumenta la capacidad de población de los planetas en 50M por un coste de 3 BC por millón.

IMPRTFORM_5_NAME        | Terraformación Mejorada +60
IMPRTFORM_5_DETAIL      | Aumenta la capacidad de población de los planetas en 60M por un coste de 3 BC por millón.

IMPRTFORM_6_NAME        | Terraformación Mejorada +80
IMPRTFORM_6_DETAIL      | Aumenta la capacidad de población de los planetas en 80M por un coste de 2 BC por millón.

IMPRTFORM_7_NAME        | Terraformación Mejorada +100
IMPRTFORM_7_DETAIL      | Aumenta la capacidad de población de los planetas en 100M por un coste de 2 BC por millón.

IMPRTFORM_8_NAME        | Terraformación Completa
IMPRTFORM_8_DETAIL      | Aumenta la capacidad de población de los planetas en 120M por un coste de 2 BC por millón.


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | Residuos Industriales Reducidos 80%
INDWASTE_0_DETAIL       | Reduce los niveles de contaminación de las fábricas al 80% de la tasa normal.

INDWASTE_1_NAME         | Residuos Industriales Reducidos 60%
INDWASTE_1_DETAIL       | Reduce los niveles de contaminación de las fábricas al 60% de la tasa normal.

INDWASTE_2_NAME         | Residuos Industriales Reducidos 40%
INDWASTE_2_DETAIL       | Reduce los niveles de contaminación de las fábricas al 40% de la tasa normal.

INDWASTE_3_NAME         | Residuos Industriales Reducidos 20%
INDWASTE_3_DETAIL       | Reduce los niveles de contaminación de las fábricas al 20% de la tasa normal.

INDWASTE_4_NAME         | Eliminación de Residuos Industriales
INDWASTE_4_DETAIL       | Las fábricas dejan de contaminar.


//
// Missile Defense techs
//
MISSDEF_0_NAME      | Cohetes Antimisiles
MISSDEF_0_BRIEF     | 40% de probabilidad de destruir misiles
MISSDEF_0_DETAIL    | Cohetes ultraligeros capaces de destruir misiles enemigos entrantes un 40% de las veces, -1% por nivel tecnológico del misil.

MISSDEF_1_NAME      | Escudo Zyro
MISSDEF_1_BRIEF     | 75% de probabilidad de destruir misiles
MISSDEF_1_DETAIL    | Un campo de energía que destruye misiles y torpedos enemigos entrantes un 75% de las veces, -1% por nivel tecnológico del misil.

MISSDEF_2_NAME      | Escudo Relámpago
MISSDEF_2_BRIEF     | 100% de probabilidad de destruir misiles
MISSDEF_2_DETAIL    | Un campo de energía que destruye misiles y torpedos enemigos entrantes un 100% de las veces, -1% por nivel tecnológico del misil.


//
// Missile Weapon techs
//
MISSWPN_0_NAME      | Misil Nuclear
MISSWPN_0_BRIEF     | 2 disparos, +1 velocidad
MISSWPN_0_BRIEF2    | 5 disparos
MISSWPN_0_DETAIL    | Misiles con cabezas nucleares que explotan causando 4 puntos de daño y se mueven a una velocidad de 2.

MISSWPN_1_NAME      | Cohetes Hyper-V
MISSWPN_1_BRIEF     | 2 disparos, +1 velocidad
MISSWPN_1_BRIEF2    | 5 disparos
MISSWPN_1_DETAIL    | Misiles veloces que explotan causando 6 puntos de daño y se mueven a una velocidad de 2.5.

MISSWPN_2_NAME      | Cohetes Hyper-X
MISSWPN_2_BRIEF     | 2 disparos, +1 acierto
MISSWPN_2_BRIEF2    | 5 disparos, +1 acierto
MISSWPN_2_DETAIL    | Misiles equipados con cabezas de alta energía que explotan causando 8 puntos de daño, se mueven a velocidad 2.5 y son guiados por un computador de puntería de nivel +1.

MISSWPN_3_NAME      | Cohetes Scatter Pack V
MISSWPN_3_BRIEF     | 2 disparos, +1 velocidad
MISSWPN_3_BRIEF2    | 5 disparos
MISSWPN_3_DETAIL    | Versiones MIRV de los Cohetes Hyper-V, dividiéndose en cinco cabezas de guerra separadas que explotan causando 6 puntos de daño cada una y se mueven a velocidad 2.5.

MISSWPN_4_NAME      | Misiles Merculita
MISSWPN_4_BRIEF     | 2 disparos, +2 acierto
MISSWPN_4_BRIEF2    | 5 disparos, +2 acierto
MISSWPN_4_DETAIL    | Misiles potentes y rápidos que explotan causando 10 puntos de daño, se mueven a velocidad 3 y son guiados por un computador de puntería +2.

MISSWPN_5_NAME      | Misiles Stinger
MISSWPN_5_BRIEF     | 2 disparos, +3 acierto
MISSWPN_5_BRIEF2    | 5 disparos, +3 acierto
MISSWPN_5_DETAIL    | Misiles lentos y de gran precisión que causan 15 puntos de daño, se mueven a velocidad 3.5 y son guiados por un sofisticado computador de puntería +3.

MISSWPN_6_NAME      | Misiles Scatter Pack VII
MISSWPN_6_BRIEF     | 2 disparos, MIRV a 7
MISSWPN_6_BRIEF2    | 5 disparos, MIRV a 7
MISSWPN_6_DETAIL    | Versiones MIRV de los Cohetes Hyper-X, dividiéndose en 7 cabezas de guerra separadas que explotan causando 10 puntos de daño cada una, se mueven a velocidad 3 y son guiadas por un computador de puntería +2.

MISSWPN_7_NAME      | Misiles Pulson
MISSWPN_7_BRIEF     | 2 disparos, +4 acierto
MISSWPN_7_BRIEF2    | 5 disparos, +4 acierto
MISSWPN_7_DETAIL    | Misiles potentes equipados con cabezas de antimateria que explotan causando 20 puntos de daño, se mueven a velocidad 4 y son guiados por un computador de puntería +4.

MISSWPN_8_NAME      | Misiles Hercular
MISSWPN_8_BRIEF     | 2 disparos, +5 acierto
MISSWPN_8_BRIEF2    | 5 disparos, +5 acierto
MISSWPN_8_DETAIL    | Misil altamente avanzado que explota causando 25 puntos de daño. Se mueve a velocidad 4.5 y es guiado por un computador de puntería +5.

MISSWPN_9_NAME      | Misiles Zeon
MISSWPN_9_BRIEF     | 2 disparos, +6 acierto
MISSWPN_9_BRIEF2    | 5 disparos, +6 acierto
MISSWPN_9_DETAIL    | Misil más avanzado disponible. Capaz de impactar naves enemigas causando 30 puntos de daño y moviéndose a velocidad 5. Es guiado por un computador de puntería +6.

MISSWPN_10_NAME      | Misiles Scatter Pack X
MISSWPN_10_BRIEF     | 2 disparos, MIRV a 10
MISSWPN_10_BRIEF2    | 5 disparos, MIRV a 10
MISSWPN_10_DETAIL    | Versiones MIRV de los Misiles Stinger, dividiéndose en 10 cabezas de guerra separadas que explotan causando 15 puntos de daño cada una, se mueven a velocidad 3.5 y son guiadas por un computador de puntería +3.


//
// Personal Shield techs for ground combat
//
// default "no shield" tech that each player starts with
PERSSHIELD_0_NAME     | 
PERSSHIELD_0_DETAIL   | 

PERSSHIELD_1_NAME     | Escudo Deflector Personal
PERSSHIELD_1_DETAIL   | Protege a las tropas terrestres individuales con un campo de fuerza direccional. Añade +10 a todas las batallas de combate terrestre.

PERSSHIELD_2_NAME     | Escudo de Absorción Personal
PERSSHIELD_2_DETAIL   | Absorbe el daño de todas las armas de mano. Añade +20 a todas las batallas de combate terrestre.

PERSSHIELD_3_NAME     | Escudo Barrera Personal
PERSSHIELD_3_DETAIL   | Envuelve completamente al soldado en un campo de fuerza casi impenetrable. Añade +30 a todas las tiradas de combate terrestre.


//
// Planetary Shield techs 
//
PLANETSHIELD_0_NAME    | Escudos Planetarios Clase V
PLANETSHIELD_0_DETAIL  | Absorbe 5 puntos de daño de todos los ataques contra la superficie planetaria, sumándose a los escudos deflectores de las bases de misiles.

PLANETSHIELD_1_NAME    | Escudos Planetarios Clase X
PLANETSHIELD_1_DETAIL  | Absorbe 10 puntos de daño de todos los ataques contra la superficie planetaria, sumándose a los escudos deflectores de las bases de misiles.

PLANETSHIELD_2_NAME    | Escudos Planetarios Clase XV
PLANETSHIELD_2_DETAIL  | Absorbe 15 puntos de daño de todos los ataques contra la superficie planetaria, sumándose a los escudos deflectores de las bases de misiles.

PLANETSHIELD_3_NAME    | Escudos Planetarios Clase XX
PLANETSHIELD_3_DETAIL  | Absorbe 20 puntos de daño de todos los ataques contra la superficie planetaria, sumándose a los escudos deflectores de las bases de misiles.


//
// Repulsor tech 
//
REPULSOR_0_NAME    | Haz Repulsor
REPULSOR_0_BRIEF   | Empuja naves enemigas 1 espacio atrás
REPULSOR_0_DETAIL  | Repele naves enemigas un espacio alejándolas de la nave defensora. Esta arma especial tiene un alcance de un espacio.


//
// Reserve Fuel tech 
//
RSRVFUEL_0_NAME    | Tanques de Combustible de Reserva
RSRVFUEL_0_BRIEF   | Extiende el Alcance de la Nave en %1 años-luz
RSRVFUEL_0_DETAIL  | Los Tanques de Combustible de Reserva aumentan el alcance de una nave.


//
// Robotic Controls techs 
//
ROBOTCTRL_0_NAME     | Controles Robóticos Mejorados III
ROBOTCTRL_0_DETAIL   | Permite operar 3 fábricas por cada unidad de población. El costo de reacondicionamiento para mejorar es la mitad del costo estándar de cada fábrica.

ROBOTCTRL_1_NAME     | Controles Robóticos Mejorados IV
ROBOTCTRL_1_DETAIL   | Permite operar 4 fábricas por cada unidad de población. El costo de reacondicionamiento para mejorar es el costo estándar de cada fábrica.

ROBOTCTRL_2_NAME     | Controles Robóticos Mejorados V
ROBOTCTRL_2_DETAIL   | Permite operar 5 fábricas por cada unidad de población. El costo de reacondicionamiento para mejorar es una vez y media el costo estándar de cada fábrica.

ROBOTCTRL_3_NAME     | Controles Robóticos Mejorados VI
ROBOTCTRL_3_DETAIL   | Permite operar 6 fábricas por cada unidad de población. El costo de reacondicionamiento para mejorar es el doble del costo estándar de cada fábrica.

ROBOTCTRL_4_NAME     | Controles Robóticos Mejorados VII
ROBOTCTRL_4_DETAIL   | Permite operar 7 fábricas por cada unidad de población. El costo de reacondicionamiento para mejorar es 2.5 veces el costo estándar de cada fábrica.


//
// Scanner techs 
//
SCANNER_0_NAME       | Escáner de Batalla
SCANNER_0_BRIEF      | Escanea naves enemigas en combate
SCANNER_0_DETAIL     | Revela las especificaciones técnicas de las naves espaciales enemigas en combate.

SCANNER_1_NAME       | Escáner del Espacio Profundo
SCANNER_1_BRIEF      | Detecta naves hasta 5 años-luz de distancia
SCANNER_1_DETAIL     | Detecta naves enemigas hasta 5 años-luz de distancia de tus colonias y 1 año-luz de distancia de tus naves.

SCANNER_2_NAME       | Escáner Espacial Mejorado
SCANNER_2_BRIEF      | Detecta naves y destinos hasta 7 años-luz de distancia
SCANNER_2_DETAIL     | Detecta naves enemigas hasta 7 años-luz de distancia de tus colonias y 2 años-luz de distancia de tus naves. Puede determinar destinos enemigos.

SCANNER_3_NAME       | Escáner Espacial Avanzado
SCANNER_3_BRIEF      | Permite explorar planetas hasta 9 años-luz de distancia
SCANNER_3_DETAIL     | Permite explorar planetas desde bases coloniales hasta 9 años-luz de distancia y detecta naves enemigas hasta 3 años-luz de distancia de tus naves.


//
// Ship Inertial techs 
//
SHIPINERTIAL_0_NAME     | Estabilizador Inercial
SHIPINERTIAL_0_BRIEF    | Añade +2 a maniobrabilidad
SHIPINERTIAL_0_DETAIL   | Reduce la inercia de las naves, añadiendo 2 clases de maniobrabilidad en combate (+2 defensa y +1 velocidad de combate).

SHIPINERTIAL_1_NAME     | Nulificador Inercial
SHIPINERTIAL_1_BRIEF    | Añade +4 a maniobrabilidad
SHIPINERTIAL_1_DETAIL   | Neutraliza la inercia de las naves, añadiendo 4 clases de maniobrabilidad en combate. También reduce el efecto de los ataques de Agujero Negro en un -30%.


//
// Ship Inertial techs 
//
SHIPNULLIFIER_0_NAME     | Nulificador Tecnológico
SHIPNULLIFIER_0_BRIEF    | Destruye computadores enemigos
SHIPNULLIFIER_0_DETAIL   | Alteran los Computadores de Batalla y ECM enemigos, reduciéndolos de 2 a 6 niveles por ataque. Su alcance supera al de la mayoría de armas de nave.

SHIPNULLIFIER_1_NAME     | Disipador de Distorsión
SHIPNULLIFIER_1_BRIEF    | Reduce velocidad de naves enemigas
SHIPNULLIFIER_1_DETAIL   | Los Disipadores de Distorsión son armas de largo alcance que interrumpen los motores de naves estelares enemigas, reduciendo su velocidad con cada ataque.


//
// Ship Weapon techs 
//
SHIPWPN_0_NAME         | Láser
SHIPWPN_0_ITEM2        | Láser Pesado
SHIPWPN_0_DETAIL       | Arma de haz de fuego directo que inflige 1-4 puntos de daño. Los láseres pesados tienen un alcance de dos espacios y hacen 1-7 puntos de daño.

SHIPWPN_1_NAME         | Láser Gatling
SHIPWPN_1_BRIEF        | Dispara 4 veces/turno
SHIPWPN_1_DETAIL       | Un láser avanzado que dispara hasta cuatro veces por turno, causando 1-4 puntos de daño con cada impacto.

SHIPWPN_2_NAME         | Cañón de Perdigones de Neutrones
SHIPWPN_2_BRIEF        | Reduce a la Mitad la Fuerza del Escudo
SHIPWPN_2_DETAIL       | Arma de flujo de partículas pesadas que reduce a la mitad la efectividad de los escudos deflectores enemigos e inflige 2 a 5 puntos de daño.

SHIPWPN_3_NAME         | Cañón Iónico
SHIPWPN_3_ITEM2        | Cañón Iónico Pesado
SHIPWPN_3_DETAIL       | Armas de haz de alta intensidad capaces de infligir 3-8 puntos de daño. Los cañones iónicos pesados golpean por 3-15 y tienen un alcance de dos espacios.

SHIPWPN_4_NAME         | Propulsor de Masa
SHIPWPN_4_BRIEF        | Reduce a la Mitad la Fuerza del Escudo
SHIPWPN_4_DETAIL       | Un acelerador lineal que reduce a la mitad la efectividad de los escudos deflectores enemigos e inflige 5-8 puntos de daño.

SHIPWPN_5_NAME         | Destructor de Neutrones
SHIPWPN_5_ITEM2        | Destructor de Neutrones Pesado
SHIPWPN_5_DETAIL       | Armas de haz de alta potencia capaces de infligir 3-12 puntos de daño. Los destructores de neutrones pesados golpean por 3-24 puntos y tienen un alcance de 2 espacios.

SHIPWPN_6_NAME         | Haz de Gravitones
SHIPWPN_6_BRIEF        | Ataque Continuo
SHIPWPN_6_DETAIL       | Haz tractor-repulsor capaz de despedazar naves. Golpea por 1-15 puntos de daño, y el efecto de flujo continuo permite que el daño excedente se traslade a otras naves.

SHIPWPN_7_NAME         | Haz Duro
SHIPWPN_7_BRIEF        | Reduce a la Mitad la Fuerza del Escudo
SHIPWPN_7_DETAIL       | Un arma de haz materia-energía que reduce a la mitad la efectividad de los escudos deflectores enemigos e inflige 8-12 puntos de daño.

SHIPWPN_8_NAME         | Haz de Fusión
SHIPWPN_8_ITEM2        | Haz de Fusión Pesado
SHIPWPN_8_DETAIL       | Arma de haz de alta intensidad capaz de hacer 4-16 puntos de daño. Los haces de fusión pesados golpean por 4-30 puntos y tienen un alcance de 2 espacios.

SHIPWPN_9_NAME         | Cañón Megabolt
SHIPWPN_9_BRIEF        | +3 niveles para impactar
SHIPWPN_9_DETAIL       | Libera múltiples rayos de energía pura en un campo amplio. Tiene un +30% de probabilidad adicional de impactar y golpea por 2-20 puntos de daño.

SHIPWPN_10_NAME        | Phasor
SHIPWPN_10_ITEM2       | Phasor Pesado
SHIPWPN_10_DETAIL      | Haces de energía faseada capaces de infligir 5 a 20 puntos de daño. Los phasors pesados golpean por 5-40 puntos de daño y tienen un alcance de dos espacios.

SHIPWPN_11_NAME        | Destructor Automático
SHIPWPN_11_BRIEF       | Dispara 3 veces/turno
SHIPWPN_11_DETAIL      | Un destructor de neutrones avanzado que dispara hasta tres veces por turno, causando 4-16 puntos de daño por impacto.

SHIPWPN_12_NAME        | Haz de Taquiones
SHIPWPN_12_BRIEF       | Ataque Continuo
SHIPWPN_12_DETAIL      | Dispara un intenso flujo de partículas taquiónicas que golpean naves enemigas por 1-25 impactos. El efecto de flujo continuo permite que el daño excedente se traslade a otras naves.

SHIPWPN_13_NAME        | Autocañón Gauss
SHIPWPN_13_BRIEF       | 1/2 Escudos, Dispara 4x
SHIPWPN_13_DETAIL      | Un acelerador lineal avanzado capaz de disparar 4 rondas explosivas por turno que infligen de 7 a 10 puntos de daño cada una. Estas rondas de proyectil también reducen a la mitad la efectividad de los escudos enemigos.

SHIPWPN_14_NAME        | Haz de Partículas
SHIPWPN_14_BRIEF       | Reduce a la Mitad la Fuerza del Escudo
SHIPWPN_14_DETAIL      | Aceleradores de partículas de alta intensidad capaces de golpear naves enemigas por 10-20 puntos de daño y reducir a la mitad la efectividad de los escudos deflectores.

SHIPWPN_15_NAME        | Cañón de Plasma
SHIPWPN_15_DETAIL      | Dispara rayos intensos de energía que infligen 6-30 puntos de daño a un alcance de 1.

SHIPWPN_16_NAME        | Rayo de la Muerte
SHIPWPN_16_DETAIL      | Un arma antigua de poder destructivo increíble que inflige 200-1000 puntos de daño y tiene un alcance de un espacio.

SHIPWPN_17_NAME        | Disruptor
SHIPWPN_17_DETAIL      | Libera tremendos rayos de energía pura que pueden golpear objetivos enemigos hasta dos espacios de distancia por 10-40 puntos de daño.

SHIPWPN_18_NAME        | Phasor Pulsante
SHIPWPN_18_BRIEF       | Dispara 3 veces/turno
SHIPWPN_18_DETAIL      | Un phasor avanzado capaz de disparar 3 ráfagas por turno, causando 5-20 puntos de daño con cada impacto.

SHIPWPN_19_NAME        | Cañón de Plasma Triple Foco
SHIPWPN_19_DETAIL      | Dispara un trío de haces de plasma de alta intensidad capaces de infligir 20 a 50 puntos de daño.

SHIPWPN_20_NAME        | Convertidor Estelar
SHIPWPN_20_BRIEF       | Golpea los Cuatro Escudos
SHIPWPN_20_DETAIL      | Rodea al objetivo con un campo de conversión materia-energía extremadamente poderoso, infligiendo cuatro ataques de 10 a 35 puntos. Tiene un alcance de 3 espacios.

SHIPWPN_21_NAME        | Dispositivo Demoledor
SHIPWPN_21_DETAIL      | Libera enormes cantidades de energía enfocada sobre objetivos enemigos, infligiendo 20-100 puntos de daño.

SHIPWPN_22_NAME        | El Flujo de Ameba
SHIPWPN_22_DETAIL      | Un flujo que hace 250-1000 puntos de daño y tiene un alcance de 3 espacios. Su efecto de flujo continuo le permite trasladar daño de una nave a otra.

SHIPWPN_23_NAME        | El Rayo Cristalino
SHIPWPN_23_DETAIL      | Un haz que rodea los escudos de un objetivo, entregando 4 ataques de 100-300 puntos de daño cada uno. Tiene un alcance de 3 espacios.


//
// Soil Enrichment techs
//
SOILENRICH_0_NAME     | Enriquecimiento del Suelo
SOILENRICH_0_DETAIL   | Convierte planetas estándar en entornos fértiles, aumentando el crecimiento de la población en un 50% y elevando el tamaño base planetario en un +25% por un costo único de 150 BC.

SOILENRICH_1_NAME     | Enriquecimiento Avanzado del Suelo
SOILENRICH_1_DETAIL   | Convierte planetas estándar y fértiles en gaianos, duplicando el crecimiento de la población y aumentando el tamaño base del planeta en un +50% por un costo único de 300 BC.


//
// Stargate tech
//
STARGATE_0_NAME      | Intergalactic Star Gates
STARGATE_0_DETAIL    | Allows your ships to move between any two planets equipped with star gates in only one turn. Cost 3000 BC to build.


//
// Stasis Field tech
//
STASIS_0_NAME      | Campo de Estasis
STASIS_0_BRIEF     | Enemigo congelado por 1 turno
STASIS_0_DETAIL    | Congela un grupo de naves enemigas, hasta un espacio de distancia, por un turno. Las naves congeladas no pueden atacar ni ser atacadas.


//
// Stream Weapon techs
//
STREAMWPN_0_NAME    | Proyector de Flujo Iónico
STREAMWPN_0_BRIEF   | Reduce armadura enemiga en 20%
STREAMWPN_0_DETAIL  | Dispara una ráfaga iónica intensa, reduciendo la armadura de cada objetivo en el grupo oponente en un 20% más un 1% por cada 2 naves que disparan, hasta un máximo del 50% de sus puntos de impacto iniciales por ataque.

STREAMWPN_1_NAME    | Proyector de Flujo de Neutrones
STREAMWPN_1_BRIEF   | Reduce armadura enemiga en 40%
STREAMWPN_1_DETAIL  | Dispara una ráfaga de neutrinos concentrados, reduciendo la armadura de cada objetivo en el grupo oponente en un 40% más un 1% por nave que dispara, hasta un máximo del 75% de sus puntos de impacto por ataque.


//
// Subspace Interdictor tech
//
SUBSPACEINT_0_NAME    | Interdictor de Subespacio
SUBSPACEINT_0_DETAIL  | Impide el uso de teleportadores de subespacio y transportadores de combate enemigos. El dispositivo se añade automáticamente a las bases de misiles.


//
// Subspace Teleporter tech
//
SUBSPACETEL_0_NAME    | Teleportador de Subespacio
